ISBN13,Title,Review,Rating
"=""9781491991701""",Flask Web Development: Developing Web Applications with Python,A good book for everyone that wants to use Flask for a web application. The book covers a wide range of problems and shows you how to solve them.,4
"=""9781633439986""",ASP.NET Core Security,A helpful book to make your ASP.Net Core applications more secure. The author knows this topic in and out and can explain it well.,4
"=""9781250210722""",They Knew: How a Culture of Conspiracy Keeps America Complacent,A somewhat depressing book where you can learn about scandals that should got a lot of attention and was buried because of “conspiracy nuts”.,4
"=""9783404157624""",Diabolus,"Ein grossartiges Buch für alle, die gerne selber Bücher schreiben wollen. Hier sieht man äusserst deutlich, dass auch grosse Autoren wie Dan Brown am Anfang ihrer Karriere den grössten Müll verfasst haben. Diabolus ist voller hölzerner Dialoge und strotz vor fehlendem Wissen über die grundlegenden Teile der Geschichte. Da handelt es sich nicht um kleine Recherchefehler, sondern um fundamentale Probleme bei denen jeder, der nur irgendetwas von Verschlüsselung gehört hat, am liebsten den Kopf auf die Tischplatte haut – das schmerzt weniger und geht einmal vorbei.<br/><br/>Ich fand Origin, das neueste Werk schon schlecht. Aber Diabolus verdient eine eigene Liga. Wobei wenn man ehrlich ist, die beiden Bücher haben so viel gemeinsam das es mir in Kürze schwerfallen dürfe, die beiden Geschichten auseinander zu halten.<br/>",1
"=""9781617294716""",The Art of Data Usability,"A book with a lot food for thought. Unfortunately, the book got cancelled in a late stage and so the polishing and necessary editing did not happen. ☹",4
"=""9783218013789""",Solidarität,Regt zum Nachdenken an und gibt Hoffnung.,4
"=""9781680507263""",Build Websites with Hugo:Fast Web Development with Markdown,"A must read if you want to use Hugo to build your web sites. Well-structured, to the point and full of helpful tricks.",5
"=""9783499012990""","Scheiß auf Selflove, gib mir Klassenkampf. Eine neue Kapitalismuskritik","Regt zum Nachdenken an und zeigt die Felder auf, wo wir von Selbstoptimierung weg und hin zu einer (Re-) Politisierung müssen. ",4
"=""9781680508598""",Portable Python Projects: Run Your Home on a Raspberry Pi,"A great introduction into programming the Raspberry Pi for home automation projects. The book covers the hardware we need, shows the code to make it work and suggests services to run things smoothly. ",4
"=""9781680508611""",Pythonic Programming: Tips for Becoming an Idiomatic Python Programmer,"A lot of good tips, but over all I had higher hopes.",3
"=""9780137961009""",Wild West to Agile: Adventures in Software Development Evolution and Revolution,"Nice title, but the mix of personal anecdotes, projects the author was involved with and the history lesion did not work for me. ",2
"=""""",Python Data Science Handbook: Essential Tools for Working with Data,I learned a lot about Pandas and Jupyter from this book that I could put to action right away.,4
"=""9780593098271""",Chapterhouse: Dune (Dune #6),"The book continues where Dune 5 stopped. Much better than the previous book, but again full of endless worldbuilding that then gets brushed over within two chapters. I am glad this is the last book and I would next time stop after book #3 should I ever want to read it again.",2
"=""9781098153434""",Prompt Engineering for Generative AI: Future-Proof Inputs for Reliable AI Outputs,A good book on prompt engineering that also shows how to use the output with your own code. ,4
"=""9781098156114""",Prompt Engineering for LLMs: The Art and Science of Building Large Language Model–Based Applications,"The book about prompt engineering that has contains nothing about prompt engineering. Instead, the second part of the title is the clue, it is about building LLM based applications. Unfortunately, it does this in such an abstract an general way, that it also lacks practicality. <br/><br/>Instead, read [b:Prompt Engineering for Generative AI: Future-Proof Inputs for Reliable AI Outputs|204133880|Prompt Engineering for Generative AI  Future-Proof Inputs for Reliable AI Outputs|James  Phoenix|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1717411390l/204133880._SX50_.jpg|209999282]<br/>",1
"=""9783960108481""",Neuronale Netze selbst programmieren: Ein verständlicher Einstieg mit Python (Animals) (German Edition),"Eine gute Einführung ins Thema. Das Kapitel zu den mathematischen Grundlagen füllt rund 40% des Buches und hätte ruhig kürzer ausfallen dürfen. Mit rund 35% geht es im 2. Kapitel an die Umsetzung in Python. Der Ansatz ist gut, jedoch ist die Darstellung des Codes unbrauchbar. Die digitale Version hat keinerlei Einrückungen im Code, wodurch dieser weder kompiliert noch lesbar ist. Hier hat O’Reilly komplett versagt, daher nur 2 Sterne.",2
"=""9783039097272""",Projektmanagement: Mit knappen Ressourcen Projekte sicher steuern (VERSUS kompakt) (German Edition),"Ein sehr kurzes Buch zu Projektmanagement. Gut geeignet als Zusatzmaterial zu einem Kurs, weniger hilfreich (da zu kurz) wenn das Buch alleine stehen soll. Sehr ausführliches Glossar mit guten Erklärungen was die einzelnen Begriffe rund um das Projektmanagement bedeuten.",3
"=""9781633436282""",Writing for Developers: Blogs that get read,"A good book for everyone who wants to write. It does not matter if it is a blog, an article or a whole book. You find a lot of helpful resources and ideas that can help you to start quickly. For writers with more experience, it is a good help to keep track and to get new ideas. Definitely a must-read for technical writers. ",5
"=""9781837635207""","Tools and Skills for .NET 8: Get the career you want with good practices and patterns to design, debug, and test your solutions",The author knows his way around .Net and what he writes about is sound. The problem I have with this book is the scope. It covers everything. From the start with the basics to the different things you can do with .Net up to the preparation to get a job. With this scope there is far too less pages available to cover anything in the dept it deserved. ,2
"=""9781633439313""",".NET in Action, Second Edition",The book is a great help to learn the important parts of .Net. It covers all the necessary steps and covers testing in a good and practical way. I especially liked the chapter on load testing.  ,5
"=""9780593098264""",Heretics of Dune (Dune #5),"The Duncan Idaho series continues. In this book we learn about the Axolotl tanks and new enemies. Otherwise, there is a lot of waiting, a bit of action, more waiting and a big build-up of an escape that then gets skipped entirely. So much preparation for something we readers then never can read. The cut from let’s capture a no-ship to now we are on Rakis is an outrage. ",2
"=""9783990464649""","Klassenkampf von oben: Angriffspunkte, Hintergründe und rhetorische Tricks","Eine messerscharfe Analyse der aktuellen Politik und wie sich der Klassenkampf von oben konkret auswirkt. Pro Kapitel wird ein Themenfeld ausgiebig betrachtet und die rhetorischen Tricks gezeigt, mit denen man versucht die Bevölkerung zu täuschen. Sehr lesenswert, nicht nur für Personen aus Österreich.",5
"=""""","Origin (Robert Langdon, #5)","Durchgang Nr.5 mit Robert Langdon und die 7. Ausgabe der Schnitzeljagt die man aus den bisherigen Büchern von Dan Brown kennt. Diesmal muss in Spanien ein Video mit einer weltbewegenden Ankündigung gefunden werden, während ein Geheimbund dies zu verhindern versucht.<br/><br/>Das positive vorab: Wenn man das Buch zügig liest und die bekannten Wechsel der Erzählstränge mag, bekommt man eine spannende Geschichte vorgesetzt, die sich diesmal um künstliche Intelligenz und den Ursprung des Lebens dreht. Man darf nun nicht anfangen die Geschichte zu hinterfragen oder sich zu viele Gedanken über das gelesene zu machen. Sonst wird es leider sehr schnell sehr wirr (auf einem Level wie dem Film Prometheus – Dunkle Zeichen, dem Vorgänger von Alien).<br/><br/>Diesmal darf Ambra Vidal neben Robert Langdon miträtseln, oder besser gesagt bei der kommenden Verfilmung als Empfängerin der Monologe von Robert dienen – Dan Brown ignoriert den immer wieder gepredigten Ansatz «Show don’t tell» ja auch in diesem Buch konsequent. Zur Handlung trägt Ambra nahezu nichts bei, abgesehen von der Aufforderung zum finden des Videos, dem Autopiloten im Tesla und der Banalität, dass man bei einem aufgeschlagenen Buch nicht nur eine, sondern 2 Seiten sieht. Ambra Vidal benötigt es allerdings für den ganzen Handlungsstrang mit dem spanischen Königshaus. Ohne diesen Teil wäre das Buch nach einem Drittel fertig und man würde sich viele Fragen über die einmal mehr äusserst flachen Charaktere ersparen.<br/><br/>Beim vorgehenden Teil Inferno bleibt am Ende des Buches das etische Dilemma: Wenn Überbevölkerung ein solch grosses Problem ist und man einen Virus hat mit dem man dies lösen könnte, wäre man bereit diesen Virus zu nutzen um die Menschheit zu retten? <br/><br/>Bei Origin stellt sich eine ganz andere Frage: War Dan Brown gleich erleichtert als er das Manuskript fertig hatte wie ich als Leser am Ende des Buches? An Fantasielosigkeit ist dieses Buch ja schwer zu unterbieten. Man nehme 2001 A Space Odyssey (Ursprung des Lebens und Computer tötet Mensch), Siri als zeitgemässer Ersatz von HAL sowie dessen «Vater» Steve Jobs (stirbt vorzeitig an Pankreas-Krebs) und füge noch die eine oder andere Verschwörungstheorie und Social Media hinzu und fertig sind alle Teile von Origin. <br/>Da zudem am Ende eine spektakuläre Überraschung ausbleibt, ist dies aus meiner Sicht das bislang schlechteste Buch von Dan Brown.",1
"=""""","Langlebige Software-Architekturen: Technische Schulden analysieren, begrenzen und abbauen (German Edition)","Carola Lilienthal beschreibt in ihrem Buch einige interessante Ansätze zur Beurteilung von Software Architekturen. Die Untersuchung auf Zyklen mittels Sotograph ist leicht umzusetzen und lässt einen Zyklen finden, die mit traditionelleren Werkzeugen (wie den Qualitätsmetriken von Visual Studio) unentdeckt bleiben. Der Vergleich zwischen der Ist- und der Soll-Architektur lässt sich ebenfalls mit diesem Werkzeug überprüfen. Ich teile ihre Erklärungen zur Notwendigkeit und sehe den Nutzen, bin jedoch skeptisch, ob mit einer langlebigen Architektur auch eine langlebige Software einhergeht. Mir fehlen da noch einige Teile des Puzzles.<br/><br/>Der Wechsel zwischen den grundsätzlichen Aspekten («man sollte») zu den eigenen Erfahrungen («ich») fallen beim Lesen sehr deutlich auf. Diese Trennung ist zwar korrekt und hilfreich, hätte für den Lesefluss aber auch ein wenig milder ausfallen können.<br/><br/>Einige Beispiele im Buch setzen die Darstellung von Farbe voraus, die auf einem Kindle mit einem Schwarz/Weiss Display nicht gegeben ist. <br/>",4
"=""9781492086857""",Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,The book hides a lot of good points behind a format that absolutely does not work for me. Skip the annoying storytelling and present your points straight away. ,2
"=""9780593098257""",God Emperor of Dune (Dune #4),"In this book we follow Letho II as he rules the Galaxy for the last part of his 3500-year long reign. No longer human, not fully a worm yet, is he waiting on something exciting. As a reader, I was waiting too. An endless build-up of the story, followed by a bit of action made it a rather boring book.",3
"=""9781633437364""",Software Testing with Generative AI,"The book explains in great details how you must formulate the prompts to get what you want from the AI tool. While there is much more to the book than the prompts, it was the part I found the most helpful one. <br/><br/>However, please do not let the AI generate code comments that explains what it does – that is the job of the code. If you do not understand what is going on, let the AI explain it without creating that kind of duplication in the code itself.",4
"=""9781633438156""","Architecture Modernization - Socio-technical alignment of software, strategy, and structure","The book tries to cover too many topics, and we end up as usual with lots of chapters that are too shallow for people new to the topic and boring for those who already now the concepts. The many, many quotes and case studies made it hard to follow. Even worse, they did not add value to the book. ",2
