Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39082860,Flask Web Development: Developing Web Applications with Python,Miguel Grinberg,"Grinberg, Miguel",,"=""1491991704""","=""9781491991701""",4,4.20,O'Reilly Media,Kindle Edition,474,2018,2014,2023/03/05,2023/02/07,,,read,A good book for everyone that wants to use Flask for a web application. The book covers a wide range of problems and shows you how to solve them.,,,1,0
59665785,ASP.NET Core Security,Christian Wenz,"Wenz, Christian",,"=""1633439984""","=""9781633439986""",4,4.75,Manning,Paperback,368,2022,,2024/07/06,2022/12/25,,,read,A helpful book to make your ASP.Net Core applications more secure. The author knows this topic in and out and can explain it well.,,,1,0
59808038,They Knew: How a Culture of Conspiracy Keeps America Complacent,Sarah Kendzior,"Kendzior, Sarah",,"=""1250210720""","=""9781250210722""",4,3.93,Flatiron Books,Hardcover,256,2022,2022,2023/12/31,2023/10/03,,,read,A somewhat depressing book where you can learn about scandals that should got a lot of attention and was buried because of “conspiracy nuts”.,,,1,0
78919135,Alice and Bob Learn Secure Coding,Tanya Janca,"Janca, Tanya",,"=""1394171706""","=""9781394171705""",0,4.00,Wiley,Paperback,416,2025,,,2025/03/18,to-read,to-read (#132),to-read,,,,0,0
123183388,Machine Learning Algorithms in Depth,Vadim Smolyakov,"Smolyakov, Vadim",,"=""1633439216""","=""9781633439214""",0,5.00,Manning,Paperback,328,2024,,,2025/03/04,currently-reading,currently-reading (#5),currently-reading,,,,1,0
1618271,Diabolus,Dan    Brown,"Brown, Dan",,"=""3404157621""","=""9783404157624""",1,3.70,Bastei Lübbe,Paperback,524,2007,1998,2018/07/07,2018/07/04,,,read,"Ein grossartiges Buch für alle, die gerne selber Bücher schreiben wollen. Hier sieht man äusserst deutlich, dass auch grosse Autoren wie Dan Brown am Anfang ihrer Karriere den grössten Müll verfasst haben. Diabolus ist voller hölzerner Dialoge und strotz vor fehlendem Wissen über die grundlegenden Teile der Geschichte. Da handelt es sich nicht um kleine Recherchefehler, sondern um fundamentale Probleme bei denen jeder, der nur irgendetwas von Verschlüsselung gehört hat, am liebsten den Kopf auf die Tischplatte haut – das schmerzt weniger und geht einmal vorbei.<br/><br/>Ich fand Origin, das neueste Werk schon schlecht. Aber Diabolus verdient eine eigene Liga. Wobei wenn man ehrlich ist, die beiden Bücher haben so viel gemeinsam das es mir in Kürze schwerfallen dürfe, die beiden Geschichten auseinander zu halten.<br/>",,,1,0
212162911,Facilitating Software Architecture: Empowering Teams to Make Architectural Decisions,Andrew Harmel-Law,"Harmel-Law, Andrew",,"=""1098151860""","=""9781098151867""",0,4.67,O'Reilly Media,Paperback,510,2024,2025,,2024/11/13,to-read,to-read (#131),to-read,,,,0,0
222687884,Die dritte Dimension des Organisierens: Steuerung und Kommunikation (German Edition),Martin Pfiffner,"Pfiffner, Martin",,"=""3658456302""","=""9783658456306""",0,4.00,Springer Gabler,Kindle Edition,658,2024,,,2025/01/05,currently-reading,currently-reading (#4),currently-reading,,,,1,0
203047106,Werbung für die Wahrheit: Überlasst die guten Geschichten nicht den Fake News,Thomas Laschyk,"Laschyk, Thomas",,"=""3831271631""","=""9783831271634""",0,4.33,Komplett-Media Verlag,Kindle Edition,258,2024,,,2024/12/22,currently-reading,currently-reading (#3),currently-reading,,,,1,0
50312287,The Art of Data Usability,Bjorgvinsson Tryggvi,"Tryggvi, Bjorgvinsson",,"=""1617294713""","=""9781617294716""",4,4.00,Manning Publications,Paperback,300,2019,,2024/12/22,2024/12/07,,,read,"A book with a lot food for thought. Unfortunately, the book got cancelled in a late stage and so the polishing and necessary editing did not happen. ☹",,,1,0
123177990,Solidarität,Natascha Strobl,"Strobl, Natascha",,"=""321801378X""","=""9783218013789""",4,3.67,Kremayr & Scheriau ,Hardcover,104,2023,2023,2024/12/20,2024/08/11,,,read,Regt zum Nachdenken an und gibt Hoffnung.,,,1,0
53423414,Build Websites with Hugo:Fast Web Development with Markdown,Brian P. Hogan,"Hogan, Brian P.",,"=""1680507265""","=""9781680507263""",5,4.10,Pragmatic Bookshelf,ebook,147,2020,,2024/12/09,2024/12/04,,,read,"A must read if you want to use Hugo to build your web sites. Well-structured, to the point and full of helpful tricks.",,,1,0
131088113,"Scheiß auf Selflove, gib mir Klassenkampf. Eine neue Kapitalismuskritik",Jean-Philippe Kindler,"Kindler, Jean-Philippe",,"=""3499012995""","=""9783499012990""",4,4.18,Rowohlt E-Book,Kindle Edition,138,2023,,2024/12/09,2024/11/30,,,read,"Regt zum Nachdenken an und zeigt die Felder auf, wo wir von Selbstoptimierung weg und hin zu einer (Re-) Politisierung müssen. ",,,1,0
60890262,Portable Python Projects: Run Your Home on a Raspberry Pi,Mike Riley,"Riley, Mike",,"=""1680508598""","=""9781680508598""",4,3.50,Pragmatic Bookshelf,Paperback,182,2022,,2024/12/08,2024/12/06,,,read,"A great introduction into programming the Raspberry Pi for home automation projects. The book covers the hardware we need, shows the code to make it work and suggests services to run things smoothly. ",,,1,0
59094309,Pythonic Programming: Tips for Becoming an Idiomatic Python Programmer,Dmitry Zinoviev,"Zinoviev, Dmitry",,"=""168050861X""","=""9781680508611""",3,3.50,Pragmatic Bookshelf,Paperback,150,2021,,2024/12/09,2022/06/11,,,read,"A lot of good tips, but over all I had higher hopes.",,,1,0
78297176,Wild West to Agile: Adventures in Software Development Evolution and Revolution,Jim Highsmith,"Highsmith, Jim",,"=""0137961006""","=""9780137961009""",2,3.75,Addison-Wesley Professional,Paperback,304,2023,,2024/12/09,2024/11/30,,,read,"Nice title, but the mix of personal anecdotes, projects the author was involved with and the history lesion did not work for me. ",,,1,0
