Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
2 days ago,talk,NDC Melbourne 2025,Who tests their cloud code anyway?,Lars Klint,58:27,58,https://youtube.com/watch?v=-bwSG_ys_4s
2 days ago,talk,NDC Melbourne 2025,Inside the Breach: Secrets Exposed,Troy Hunt,59:07,59,https://youtube.com/watch?v=Og-cFpwqjQ4
4 days ago,talk,NDC Melbourne 2025,"Keynote: The past, present, and future of AI for application developers",Steve Sanderson,59:12,59,https://youtube.com/watch?v=Xyios5mdkIM
4 days ago,talk,NDC Melbourne 2025,How Rome2Rio split up their monolith and moved to the cloud,Lachlan Barclay,43:03,43,https://youtube.com/watch?v=_8Vf_G8Lv-c&pp=0gcJCY0JAYcqIYzv
4 days ago,talk,NDC Melbourne 2025,"Mirror, mirror: LLMs and the illusion of humanity",Jodie Burchell,56:09,56,https://youtube.com/watch?v=RSS1a8ngGRU
4 days ago,talk,NDC Melbourne 2025,What's new in .NET 9 & C# 13,Filip Ekberg,1:00:32,61,https://youtube.com/watch?v=snPgTcxH8-s&pp=0gcJCY0JAYcqIYzv
4 days ago,talk,NDC Melbourne 2025,Design Engineering: The next era of Software Design,Diana Mounter,57:06,57,https://youtube.com/watch?v=3fu3nvOYs8Q
4 days ago,talk,NDC Melbourne 2025,Correcting Common Async/Await Mistakes in .NET 9,Brandon Minnick,1:01:19,61,https://youtube.com/watch?v=6frfLI3HqKI&pp=0gcJCY0JAYcqIYzv
3 weeks ago,talk,NDC Porto 2024,Mobile App Architecture: How to Conquer the Giant!,Heather Downing,1:03:51,64,https://youtube.com/watch?v=617jDXMShuc
3 weeks ago,talk,NDC Porto 2024,"Team Temperature: How to Control High Engagement, Prevent Burnout and ...",Tomas Lekavičius,28:31,29,https://youtube.com/watch?v=FEqZyVT6dSo
3 weeks ago,talk,NDC Porto 2024,Your developer’s intelligence isn’t artificial,Hannes Lowette,1:03:34,64,https://youtube.com/watch?v=WnrgjVQtJag
3 weeks ago,talk,NDC Porto 2024,The Power of Dev Containers and GitHub Codespaces,Chris Ayers,1:13:47,74,https://youtube.com/watch?v=wzIhoopguPY
3 weeks ago,talk,NDC Porto 2024,The Blazor Multiverse: get to know the different Blazor frameworks,Anjuli Jhakry,52:28,52,https://youtube.com/watch?v=GpkkoAPGV2w
3 weeks ago,talk,NDC Porto 2024,A Developer Goes to the Movies,Simon Painter,1:03:44,64,https://youtube.com/watch?v=znaTn-pFqmM
3 weeks ago,talk,NDC Porto 2024,From Code to Customer,Tobias Mende,53:36,54,https://youtube.com/watch?v=OJjO-xtX1JE
3 weeks ago,talk,NDC Porto 2024,Navigating the GitOps ecosystem: The principles and in-depth look at Argo and Flux,Stas Lebedenko,55:48,56,https://youtube.com/watch?v=sXyHTJGGmF8
1 month ago,talk,NDC Porto 2024,Build RAG from Scratch,Phil Nash,44:18,44,https://youtube.com/watch?v=wkvGcbsZmPo
1 month ago,talk,NDC Porto 2024,Test-Driven Leadership: Crafting Testable Strategies,Andrew Murphy,49:06,49,https://youtube.com/watch?v=wcLhyRMsG9g
1 month ago,talk,NDC Porto 2024,Writing (in)efficient C#,Callum Whyte,58:47,59,https://youtube.com/watch?v=s5xNMWkYPwQ
1 month ago,talk,NDC Porto 2024,Less is more—a build pipeline for the modern age,Adam Ralph,44:33,45,https://youtube.com/watch?v=aJnd_PGDR4Y
1 month ago,talk,NDC Porto 2024,Hearing and Being Heard - Getting the Entire Team to Speak,Daniel Ward,33:09,33,https://youtube.com/watch?v=9-7IwgTg7BU
1 month ago,talk,NDC Porto 2024,Turbocharged: Writing High-Performance C# and .NET Code,Steve Gordon,1:03:45,64,https://youtube.com/watch?v=2EGzAPhz2nE
1 month ago,talk,NDC Porto 2024,SQL Server vs Azure Cosmos DB,Hasan Savran,54:55,55,https://youtube.com/watch?v=28GqHEtApeU
1 month ago,talk,NDC Porto 2024,Building Operable Software with TDD (but not the way you think),Martin Thwaites,55:58,56,https://youtube.com/watch?v=vzr4HiQZhdY&pp=0gcJCY0JAYcqIYzv
1 month ago,talk,NDC Porto 2024,"CQRS, DDD and GraphQL, a perfect fit?",Michael Staib,52:29,52,https://youtube.com/watch?v=QXGJCn-1VEo
1 month ago,talk,NDC London 2025,Modern Observability and Event Driven Architectures,Martin Thwaites & Ian Cooper,1:04:49,65,https://youtube.com/watch?v=DgW1kAazN80
1 month ago,talk,NDC London 2025,Advanced Cloud Native Development with .NET Aspire,Scott Hunter & Maddy Montaquila,1:01:21,61,https://youtube.com/watch?v=izLJ7Ztf-BM
1 month ago,talk,NDC London 2025,Locknote: Confessions of an Imposter,Rendle .,52:39,53,https://youtube.com/watch?v=fL2poAw2cb0
1 month ago,talk,NDC London 2025,"Where next, C#?",Mads Torgersen,1:00:21,60,https://youtube.com/watch?v=78dwlqFUTP4
1 month ago,talk,NDC London 2025,On Becoming a Space-Faring Civilization -,Unknown,1:00:18,60,https://youtube.com/watch?v=GIaPk4d1yBU&pp=0gcJCY0JAYcqIYzv
1 month ago,talk,NDC London 2025,You Don’t Know Git,Edward Thomson,1:01:56,62,https://youtube.com/watch?v=DZI0Zl-1JqQ
1 month ago,talk,NDC London 2025,Practical advice for building glorious monoliths,Glenn F. Henriksen,1:03:43,64,https://youtube.com/watch?v=3wrwrFNZFv4
1 month ago,talk,NDC London 2025,Getting to 300 million requests a month with a one man AI/Dev-Ops team,Rob Frelow,54:05,54,https://youtube.com/watch?v=ZFQq5Djd5JY&pp=0gcJCY0JAYcqIYzv
1 month ago,talk,NDC Security 2025,Floki: Defining Agentic Workflows for Security,Roberto Rodriguez,1:08:45,69,https://youtube.com/watch?v=bOFe2MZfb4o
1 month ago,talk,NDC Security 2025,TPMs and the Linux Kernel: unlocking a better path to hardware security,Ignat Korchagin,54:21,54,https://youtube.com/watch?v=Msa9nq5kgjU
1 month ago,talk,NDC Security 2025,AI and the SOC Engineer: The Evolving Human Element in Security,Victoria Almazova,1:00:58,61,https://youtube.com/watch?v=CaZbsbKnOho
1 month ago,talk,NDC Security 2025,Inside Google's Discovery and Remediation of a Critical CPU Vulnerability,Yousif Hussin,44:59,45,https://youtube.com/watch?v=Ix1oBc0jp9Q
1 month ago,talk,NDC Security 2025,Optimistic Security,Niall Merrigan,53:05,53,https://youtube.com/watch?v=pbIdEPbZGho
1 month ago,talk,NDC Security 2025,Improve your threat modelling through the science of simplicity,Dave Soldera,1:00:30,61,https://youtube.com/watch?v=G88hFlId_aM
1 month ago,talk,NDC Security 2025,Navigating complexity in event-driven architectures: A domain-driven approach,David Boyne,55:17,55,https://youtube.com/watch?v=HpFWRpyyvrk
1 month ago,talk,NDC Security 2025,Building a lightning fast Firewall with Java & eBPF,Johannes Bechberger,47:21,47,https://youtube.com/watch?v=16Rv7IWGoDk
1 month ago,talk,NDC Security 2025,Hack the Planet! What Movies can Teach Us about InfoSec,Simon Painter,56:00,56,https://youtube.com/watch?v=hKHf9Ko9SY4
1 month ago,talk,NDC Security 2025,Linux containers in (less than) 100 lines of shell,Michael Kerrisk,1:15:10,75,https://youtube.com/watch?v=4RUiVAlJE2w
1 month ago,talk,NDC Security 2025,Keynote: Maturing Your Application Security Program,Tanya Janca,57:25,57,https://youtube.com/watch?v=SfBRx7WVyKQ
1 month ago,talk,NDC Security 2025,Content Security Policy: From newbie to advanced,Halvor Sakshaug,59:57,60,https://youtube.com/watch?v=eFbFMqaqSAk
1 month ago,talk,NDC Security 2025,Plants vs thieves: Automated Tests in the World of Web Security,Ramona Schwering,55:22,55,https://youtube.com/watch?v=zq1pnFMwHE4
1 month ago,talk,NDC Security 2025,Spoofing Commands - Can You Trust Process Creation Logs?,Tristan Bennett,54:40,55,https://youtube.com/watch?v=cjKpZ1JmlU8
1 month ago,talk,NDC Security 2025,Tales of OAuth2/OIDC in the wild,Anders Abel,40:35,41,https://youtube.com/watch?v=SWz88aYrd84
1 month ago,talk,NDC Security 2025,Challenges and Opportunities from Quantum-Safe Cryptography,Tjerand Silde,1:04:43,65,https://youtube.com/watch?v=Ph8yoeN6ZwE
1 month ago,talk,NDC Security 2025,From DevSecOops to Security Success: The Bug Bounty Effect at FINN.no,Emil Vaagland,36:35,37,https://youtube.com/watch?v=4JHjGu-Jo6I&pp=0gcJCY0JAYcqIYzv
