Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
2 weeks ago,talk,Unknown,NDC Porto - 16-20 October 2023, Conference for Software Developers,0:33,1,https://youtube.com/watch?v=tKnNqftbT4Q
3 weeks ago,talk,NDC Oslo 2023,Managing Kubernetes the GitOps way with Flux,Jeff French,1:00:38,61,https://youtube.com/watch?v=1DuxTlvmaNM
3 weeks ago,talk,NDC Oslo 2023,Make a great-looking 3D landscape visualization!,Kristoffer Dyrkorn,59:06,59,https://youtube.com/watch?v=AYU0vw6IyUY
3 weeks ago,talk,NDC Oslo 2023,OpenAPI & .NET: You're Doing It Wrong,Mark Rendle,57:15,57,https://youtube.com/watch?v=1K1LRzXeO_4
3 weeks ago,talk,NDC Oslo 2023,Design Good Schemas - Get a Better Database,Nuri Halperin,1:02:19,62,https://youtube.com/watch?v=iDWwoz9ZUzw
3 weeks ago,talk,NDC Oslo 2023,God really plays dice - Introduction to Quantum Computing with Q#,Filip w,56:34,57,https://youtube.com/watch?v=I2NqMbKc8K4
3 weeks ago,talk,NDC Oslo 2023,Let's Get Scary and Continuously Deploy Database Changes!,Dan Mallott,1:00:00,60,https://youtube.com/watch?v=cae0jXRrNno
3 weeks ago,talk,NDC Oslo 2023,How AI is impacting cybersecurity. Does it?,Victoria Almazova,52:36,53,https://youtube.com/watch?v=vXLz_U4xzkc
3 weeks ago,talk,NDC Oslo 2023,Developing an intersectional framework to analyze biases in artificial intelligence and deep neural,Unknown,22:37,23,https://youtube.com/watch?v=Nyj2O8gHJZM
3 weeks ago,talk,NDC Oslo 2023,How to choose the right database for your application,Zoe Steinkamp,41:03,41,https://youtube.com/watch?v=hj2yFugmpz8
3 weeks ago,talk,NDC Oslo 2023,The state of passwordless auth on the web,Phil Nash,50:30,51,https://youtube.com/watch?v=qYH1NNmF2hk
3 weeks ago,talk,Unknown,"Immersive storytelling with code, graphics and wit",Einar Otto Stangvik & Jonas Nilsson,53:38,54,https://youtube.com/watch?v=LR7lprNsR_A
